OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point
18290,Beale St & Howard St W-NS/SB,BEALHWRO, ,7775,37.78993,-122.394461,0,,, , , ,0,08/25/2018 02:14:39 PM +0000,1127695,114,,"(37.7899299995995, -122.39446100040674)"
18291,La Playa St&Cabrillo St SW-FS/BZ,LAPLCBR1,LAPLCBRO,4843,37.773214,-122.51006,0,CABRILLO ST,LA PLAYA ST,FS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127698,114,,"(37.77321400012925, -122.51005999956197)"
18292,Fulton St&La Playa SE-FS/BZ,FULTLAP1,FULTLAPL,4228,37.77134,-122.50939,0,LA PLAYA ST,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127699,114,,"(37.77134000017073, -122.5093900003598)"
18293,Fulton St&46TH Ave SE-FS/BZ,FULT46A1,FULT46AV,4222,37.77148,-122.50631,0,46TH AVE,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127700,114,,"(37.77148000025079, -122.50631000019669)"
18294,Fulton St&43RD Ave SE-FS/BZ,FULT43A3, ,7720,37.771612,-122.503296,0,43RD AVE,FULTON ST, , , ,,08/25/2018 02:14:39 PM +0000,1127701,114,,"(37.771612000309275, -122.50329599949045)"
18295,Fulton St&40TH Ave SE-FS/BZ,FULT40A1,FULT40AV,4218,37.77179,-122.49991,0,40TH AVE,FULTON ST,FS,SE  ,FL,1,08/25/2018 02:14:39 PM +0000,1127702,114,,"(37.77178999965286, -122.49990999988981)"
18296,Fulton St&37TH Ave SE-FS/BZ,FULT37A1,FULT37AV,4215,37.77192,-122.49679,0,37TH AVE,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127703,114,,"(37.77191999965911, -122.49678999962632)"
18297,Fulton St&33RD Ave SW-NS/BZ,FULT33A1,FULT33AV,4212,37.7721,-122.49288,0,33RD AVE,FULTON ST,NS,SW  ,FL,0,08/25/2018 02:14:39 PM +0000,1127704,114,,"(37.772100000422235, -122.49287999986214)"
18298,Fulton St&30TH Ave SE-FS/BZ,FULT30A1,FULT30AV,4753,37.77224,-122.48919,0,30TH AVE,FULTON ST,FS,SE  ,FL,1,08/25/2018 02:14:39 PM +0000,1127705,114,,"(37.7722399995691, -122.48918999996488)"
18299,Fulton St&28TH Ave SE-FS/BZ,FULT28A1,FULT28AV,4751,37.77235,-122.48717,0,28TH AVE,FULTON ST,FS,SE  ,FL,1,08/25/2018 02:14:39 PM +0000,1127706,114,,"(37.7723499997157, -122.48716999995251)"
18300,Fulton St&22ND Ave SE-FS/BZ,FULT22A1,FULT22AV,4747,37.77266,-122.48061,0,22ND AVE,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127707,114,,"(37.772660000447196, -122.4806099994451)"
18301,Fulton St&18TH Ave,FULT18A3, ,7721,37.772834,-122.476524,0,18TH AVE,FULTON ST, , , ,0,08/25/2018 02:14:39 PM +0000,1127708,114,,"(37.772834000142545, -122.47652399957384)"
18302,Fulton St&Park Presidio Blvd SE-FS/BZ,FULTPKP1,FULTPKPR,4232,37.773067,-122.471699,0,PARK PRESIDIO BLVD,FULTON ST,FS,SWE,BZ,1,08/25/2018 02:14:39 PM +0000,1127709,114,,"(37.773067000293096, -122.4716990000848)"
18303,Fulton St&10TH Ave SE-FS/BZ,FULT10A1,FULT10AV,4737,37.77325,-122.46761,0,10TH AVE,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127710,114,,"(37.773250000149844, -122.46760999995875)"
18304,Fulton St&4TH Ave SE-FS/BZ,FULT 4A1,FULT 4AV,4731,37.77384,-122.46125,0,04TH AVE,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127712,114,,"(37.773840000037886, -122.46124999972186)"
18305,Fulton St&Arguello Blvd SE-FS/BZ,FULTARG1,FULTARGL,4224,37.774282,-122.458003,0,ARGUELLO BLVD,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127713,114,,"(37.77428200042242, -122.45800299988203)"
18306,Fulton St&Stanyan St SE-FS/BZ,FULTSTA1,FULTSTAN,4235,37.774756,-122.454519,0,STANYAN ST,FULTON ST,FS,SE,BZ,0,08/25/2018 02:14:39 PM +0000,1127714,114,,"(37.774756000135184, -122.45451900028279)"
18307,Fulton St&Shrader St SE-FS/BZ,FULTSHR1,FULTSHRA,4234,37.77499,-122.45238,0,SHRADER ST,FULTON ST,FS,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127715,114,,"(37.77499000002999, -122.45238000018846)"
18308,Fulton St&Clayton St SE-FS/BZ,FULTCLT1,FULTCLTN,4226,37.77537,-122.44929,0,CLAYTON ST,FULTON ST,FS,SE  ,BZ,0,08/25/2018 02:14:39 PM +0000,1127716,114,,"(37.775369999929865, -122.44928999955687)"
18309,McAllister St&Baker St SW-NS/BZ,MCALBAK1,MCALBAKR,5385,37.77731,-122.44185,0,BAKER ST,MCALLISTER ST,NS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127718,114,,"(37.777309999798604, -122.44185000042121)"
18310,McAllister St&Divisadero St SW-NS,MCALDIV1,MCALDIVI,5390,37.77773,-122.43851,0,DIVISADERO ST,MCALLISTER ST,NS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127719,114,,"(37.777730000029955, -122.43850999967961)"
18311,McAllister St&Pierce St SW-NS/BZ,MCALPIE1,MCALPIER,5401,37.77815,-122.43519,0,PIERCE ST,MCALLISTER ST,NS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127720,114,,"(37.7781499999714, -122.43519000042521)"
18312,McAllister St&Laguna St SE-FS/BZ,MCALLGN1,MCALLGNA,5399,37.779188,-122.426781,0,LAGUNA ST,MCALLISTER ST,FS,SE,BZ,1,08/25/2018 02:14:39 PM +0000,1127721,114,,"(37.77918799982011, -122.4267810005332)"
18313,McAllister St&Gough St SE-FS/BZ,MCALGOU1,MCALGOUG,5394,37.779607,-122.423457,0,GOUGH ST,MCALLISTER ST,FS,SE,BZ,0,08/25/2018 02:14:39 PM +0000,1127722,114,,"(37.779606999767445, -122.42345700044635)"
18314,Larkin St&Mcallister St NE-FS/SB,LARKMCA1,LARKMCAL,4850,37.780569,-122.416865,0,MCALLISTER ST,LARKIN ST,FS,NE  ,FL,1,08/25/2018 02:14:39 PM +0000,1127723,114,,"(37.78056900028622, -122.4168649994965)"
18315,Golden Gate Ave&Leavenworth St SE-FS/PS,G GLEAV1, ,7884,37.781826,-122.413793,,LEAVENWORTH ST,GOLDEN GATE AVE, , , ,,08/25/2018 02:14:39 PM +0000,1127724,114,,"(37.781826000447175, -122.41379299960501)"
18316,McAllister St&Hyde St S-MB/PS,MCALHYD1,MCALHYDE,5396,37.78061,-122.41587,0,HYDE ST,MCALLISTER ST,MB,S   ,FL,0,08/25/2018 02:14:39 PM +0000,1127725,114,,"(37.780609999931585, -122.41586999968759)"
18317,McAllister & Leavenworth St SW-NS,MCALLEA1,,7635,37.780889,-122.413587,,LEAVENWORTH ST,MCALLISTER ST,,,,,08/25/2018 02:14:39 PM +0000,1127726,114,,"(37.78088899966561, -122.41358700051973)"
18318,Market between 5th & 6th St SE-MB/BZ,MRKT 6/5,MRKT 6/5,5646,37.783395,-122.408657,0,5TH ST,MARKET ST,MB,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127727,114,,"(37.783395000043726, -122.40865699962836)"
18319,Market between 5th & 4th St SE-MB/BZ,MRKT 5/4,MRKT 5/4,5644,37.78484,-122.406834,0,4TH ST,MARKET ST,MB,SE  ,BZ,1,08/25/2018 02:14:39 PM +0000,1127728,114,,"(37.784839999989586, -122.40683399950856)"
18320,Market St&3rd St E-FS/BZ,MRKT.3ST,MRKT.3ST,5641,37.787667,-122.403359,0,GEARY ST,MARKET ST,NS,S   ,BZ,0,08/25/2018 02:14:39 PM +0000,1127729,114,,"(37.787666999753306, -122.4033590001422)"
18321,Market St&1st St S-NS/BZ,MRKT.1S1,MRKT.1ST,5638,37.790896,-122.399138,0,1ST ST,MARKET ST,NS,S   ,BZ,0,08/25/2018 02:14:39 PM +0000,1127730,114,,"(37.7908960001885, -122.3991380002152)"
