Neighborhood,MedianRent,Lat,Long
Outer Richmond,"2,795.00",37.7777,-122.4953
Outer Sunset,"2,450.00",37.7467,-122.4863
Lakeshore,"2,780.00",37.7233,-122.4887
Inner Richmond,"2,730.00",37.781,-122.4654
Inner Sunset,"2,885.00",37.7607,-122.468
West of Twin Peaks,"2,950.00",37.7406,-122.4589
Presidio Heights/Laurel Heights,"2,990.00",37.7866,-122.4519
Lone Mountain,"2,675.00",37.777,-122.4538
NOPA,"3,320.00",37.7757,-122.4425
Haight Ashbury,"3,050.00",37.7692,-122.4481
Ashbury Heights,"3,500.00",37.7653,-122.4453
The Castro,"3,540.00",37.7609,-122.435
Noe Valley,"3,300.00",37.7502,-122.4337
Glen Park,"2,650.00",37.7378,-122.4321
Outer Mission/Excelsior,"2,300.00",37.7157,-122.4458
Marina,"3,690.00",37.8037,-122.4368
Cow Hollow,"3,700.00",37.798,-122.4396
Pacific Heights,"3,480.00",37.7925,-122.4382
Lower Pacific Heights,"3,570.00",37.787,-122.4368
Western Addition,"3,250.00",37.7822,-122.4342
Lower Haight,"3,050.00",37.7721,-122.4321
Mission Dolores,"3,560.00",37.7596,-122.4269
Hayes Valley,"3,750.00",37.7759,-122.4245
North Beach,"3,010.00",37.8061,-122.4103
Russian Hill,"3,325.00",37.8011,-122.4196
Nob Hill,"3,300.00",37.793,-122.4161
Downtown,"3,215.00",37.7912,-122.4139
Tenderloin,"2,395.00",37.7847,-122.4145
Civic Center,"3,100.00",37.7816,-122.4156
SOMA,"3,850.00",37.7785,-122.4056
The Mission,"3,585.00",37.7599,-122.4148
Bernal Heights,"3,250.00",37.7389,-122.4152
Telegraph Hill,"3,600.00",37.8013,-122.4057
Financial District,"3,700.00",37.7946,-122.3999
South Beach,"3,800.00",37.7836,-122.3899
Protrero Hill,"3,580.00",37.7605,-122.4009
Mission Bay/Dogpatch,"3,690.00",37.7591,122.3895
Bayview,"2,925.00",37.7304,122.3844
