,Station Name,Line,Latitude,Longitude
0,Astor Pl,4-6-6 Express,40.73005400028978,-73.99106999861966
1,Canal St,4-6-6 Express,40.71880300107709,-74.00019299927328
2,50th St,1-2,40.76172799961419,-73.98384899986625
3,Bergen St,2-3-4,40.68086213682956,-73.97499915116808
4,Pennsylvania Ave,3-4,40.66471445143568,-73.89488591154061
5,238th St,1,40.88466700064975,-73.90087000018522
6,Cathedral Pkwy (110th St,A-B-C,40.800581558114956,-73.95806670661364
7,Kingston - Throop Aves,A-C,40.67991899941601,-73.94085899871263
8,65th St,E-M-R,40.74971952935675,-73.8987883783301
9,36th St,E-M-R,40.75196004401078,-73.92901818461539
10,Delancey St - Essex St,J-M-Z,40.71830605618619,-73.98740940202974
11,Van Siclen Ave,J-Z,40.67802821447783,-73.89165772702445
12,Norwood Ave,J-Z,40.68152000045683,-73.87962599910783
13,104th-102nd Sts,J-Z,40.69516599823373,-73.84443500029684
14,DeKalb Ave,B-D-N-Q-R,40.690648119969794,-73.98177094440949
15,Beach 105th St,A-S,40.58326843810286,-73.82758075034528
16,Beach 90th St,A-S,40.58809156457325,-73.81365140419632
17,Freeman St,2-5,40.829987446384116,-73.89175225349464
18,Intervale Ave,2-5,40.822142131170786,-73.89661738461646
19,182nd-183rd Sts,B-D,40.85609299881864,-73.90074099998965
20,174th-175th Sts,B-D,40.84589999983414,-73.91013600050078
21,167th St,B-D,40.83376899862797,-73.91843200082253
22,Mets - Willets Point,7-7 Express,40.75462199881262,-73.8456249984179
23,Junction Blvd,7-7 Express,40.74914499948836,-73.86952700103515
24,Flushing - Main St,7-7 Express,40.75959999915012,-73.83003000262508
25,Buhre Ave,6-6 Express,40.846809998885504,-73.83256900003744
26,3rd Ave - 138th St,6-6 Express,40.81047600117261,-73.92613800014134
27,Castle Hill Ave,6-6 Express,40.83425499825462,-73.85122199961472
28,Brooklyn Bridge - City Hall,4-5-6-6 Express,40.713064999433136,-74.0041310005885
29,Zerega Ave,6-6 Express,40.836488000608156,-73.8470359987544
30,Grand Central - 42nd St,4-5-6-6 Express,40.75180742981634,-73.9767132992584
31,33rd St,4-6-6 Express,40.74608099909145,-73.98207600148947
32,96th St,4-6-6 Express,40.78567199998607,-73.9510700015425
33,77th St,4-6-6 Express,40.77362000074615,-73.95987399886047
34,Chauncey St,J-Z,40.68285130087804,-73.91038357033376
35,Union St,D-N-R,40.67731566735096,-73.98310999909673
36,Elmhurst Ave,E-M-R,40.74237007972169,-73.8820347465864
37,Ralph Ave,A-C,40.678822000873375,-73.92078599933306
38,Pelham Pkwy,2-5,40.8571924091606,-73.86748067850041
39,Gun Hill Rd,2-5,40.877839385172024,-73.86613410538703
40,Nereid Ave (238 St,2-5,40.898286515575286,-73.8543153107622
41,Franklin Ave,2-3-4-5,40.67076515344894,-73.9580997367769
42,Simpson St,2-5,40.823976841237396,-73.89306639507903
43,Bronx Park East,2-5,40.848768666338934,-73.86835609178098
44,Winthrop St,2-5,40.65665931376077,-73.95007934590994
45,Van Siclen Ave,3-4,40.665517963059635,-73.88940491730106
46,149th St - Grand Concourse,4,40.81830344372315,-73.9273847542618
47,161st St - Yankee Stadium,4,40.82823032742169,-73.92569199505733
48,Lexington Ave - 59th St,4-5-6-6 Express,40.762526000304575,-73.9679670004732
49,E 149th St,6,40.81211799827203,-73.90409799875945
50,Morrison Av - Soundview,6,40.82952100156747,-73.87451599929486
51,Whitlock Ave,6,40.82652500055904,-73.8862829985325
52,St Lawrence Ave,6,40.8315090005233,-73.86761799923673
53,Woodside - 61st St,7-7 Express,40.745630001138395,-73.90298400173006
54,Far Rockaway - Mott Ave,A,40.603995001687544,-73.75540499924732
55,72nd St,A-B-C,40.77551939729258,-73.976336575218
56,96th St,A-B-C,40.79161879767014,-73.96460245687166
57,168th St,A-C,40.84071899990795,-73.93956099985425
58,Kingsbridge Rd,B-D,40.86697799999945,-73.8935090000331
59,42nd St - Bryant Pk,B-D-F-M,40.754184001312545,-73.98459099904711
60,Prospect Park,B-Q-S,40.6616334551018,-73.96203130426609
61,55th St,D,40.63147876093745,-73.99534882595742
62,Jamaica - Van Wyck,E,40.70289855287313,-73.81701287135405
63,Kew Gardens - Union Tpke,E-F,40.714034819571026,-73.8303702709878
64,Sutphin Blvd - Archer Av,E-J-Z,40.700382424235,-73.80800471963833
65,Court Sq - 23rd St,E-M,40.747768121414325,-73.94605470266329
66,67th Ave,E-M-R,40.726505475813006,-73.85286048434907
67,Grand Ave - Newtown,E-M-R,40.736813418197144,-73.87722085669182
68,Ditmas Ave,F,40.63611866666291,-73.97817199965161
69,Classon Ave,G,40.68888900026455,-73.95999000137212
70,Broadway,G,40.706126576274166,-73.95031225606621
71,Lorimer St,L,40.71407200064717,-73.95024799996972
72,Sutter Ave,L,40.66914500061398,-73.9019160004208
73,Wilson Ave,L,40.68886654246024,-73.90395860491864
74,Halsey St,J,40.686415270704344,-73.9166388842194
75,Lorimer St,J-M,40.703844000042096,-73.94735499884204
76,8th Ave,N,40.634970999647166,-74.01151599772157
77,36th Ave,N-W,40.7564420005104,-73.929861999118
78,Broadway,N-W,40.761431998800546,-73.92582299919906
79,Times Sq - 42nd St,N-Q-R-W,40.75461199851542,-73.98676800153976
80,Grand Central - 42nd St,S,40.75276866674217,-73.97918899989101
81,Park Pl,S,40.67477166685263,-73.95762400074634
82,111th St,A-S,40.68433100001238,-73.83216299845388
83,W 4th St - Washington Sq (Lower,B-D-F-M,40.732254493367876,-74.00030814755975
84,51st St,4-6-6 Express,40.75710699989316,-73.97192000069982
85,86th St,1-2,40.78864400073892,-73.97621799859327
86,233rd St,2-5,40.89314324138378,-73.85736239521543
