,Stop Name,Latitude,Longitude
0,Beale St & Howard St W-NS/SB,37.78993,-122.394461
1,La Playa St&Cabrillo St SW-FS/BZ,37.773214,-122.51006000000001
2,Fulton St&La Playa SE-FS/BZ,37.77134,-122.50939
3,Fulton St&46TH Ave SE-FS/BZ,37.77148,-122.50631000000001
4,Fulton St&43RD Ave SE-FS/BZ,37.771612,-122.50329599999999
5,Fulton St&40TH Ave SE-FS/BZ,37.77179,-122.49991000000001
6,Fulton St&37TH Ave SE-FS/BZ,37.77192,-122.49678999999999
7,Fulton St&33RD Ave SW-NS/BZ,37.7721,-122.49288
8,Fulton St&30TH Ave SE-FS/BZ,37.772240000000004,-122.48919
9,Fulton St&28TH Ave SE-FS/BZ,37.77235,-122.48716999999999
10,Fulton St&22ND Ave SE-FS/BZ,37.772659999999995,-122.48061000000001
11,Fulton St&18TH Ave,37.772834,-122.476524
12,Fulton St&Park Presidio Blvd SE-FS/BZ,37.773067,-122.471699
13,Fulton St&10TH Ave SE-FS/BZ,37.77325,-122.46761000000001
14,Fulton St&4TH Ave SE-FS/BZ,37.77384,-122.46125
15,Fulton St&Arguello Blvd SE-FS/BZ,37.774282,-122.458003
16,Fulton St&Stanyan St SE-FS/BZ,37.774756,-122.45451899999999
17,Fulton St&Shrader St SE-FS/BZ,37.77499,-122.45238
18,Fulton St&Clayton St SE-FS/BZ,37.77537,-122.44928999999999
19,McAllister St&Baker St SW-NS/BZ,37.77731,-122.44185
20,McAllister St&Divisadero St SW-NS,37.77773,-122.43851000000001
21,McAllister St&Pierce St SW-NS/BZ,37.77815,-122.43518999999999
22,McAllister St&Laguna St SE-FS/BZ,37.779188,-122.426781
23,McAllister St&Gough St SE-FS/BZ,37.779607,-122.42345700000001
24,Larkin St&Mcallister St NE-FS/SB,37.780569,-122.41686499999999
25,Golden Gate Ave&Leavenworth St SE-FS/PS,37.781826,-122.413793
26,McAllister St&Hyde St S-MB/PS,37.780609999999996,-122.41587
27,McAllister & Leavenworth St SW-NS,37.780889,-122.413587
28,Market between 5th & 6th St SE-MB/BZ,37.783395,-122.408657
29,Market between 5th & 4th St SE-MB/BZ,37.78484,-122.406834
30,Market St&3rd St E-FS/BZ,37.787667,-122.40335900000001
31,Market St&1st St S-NS/BZ,37.790896000000004,-122.399138
32,Mission St&Fremont St S-MB/BZ,37.79015,-122.39695
33,Beale St&Mission St W-MB/BZ,37.791939,-122.396879
34,11TH ST BETWEEN MARKET & MISSION,37.775502,-122.418656
35,Market & Steuart NW-FS/BZ,37.794453999999995,-122.39491699999999
36,11th St&Market St S-FS/BZ,37.775368,-122.418575
37,Potrero Ave&16th St SW-FS/BZ,37.765701,-122.407646
38,Potrero Ave&24th St SW-FS/BZ,37.752942,-122.406393
39,San Bruno Ave&Silver Ave S-FS/BZ,37.73217,-122.40556000000001
40,Bay Shore Blvd&Visitacion Ave E-MB/BZ,37.709523,-122.40463100000001
41,McLaren School SW-FS/BZ,37.713553000000005,-122.422219
42,Geneva Ave&Rio Verde St SE-FS/BZ,37.706939,-122.41553400000001
43,11th St&Mission St S-FS/BZ,37.774038,-122.41689099999999
44,11th St&Howard St S-FS/BZ,37.77283,-122.41538
45,11th St&Harrison St S-FS/BZ,37.770557000000004,-122.41249199999999
46,Division St&Bryant St SE-FS/BZ,37.76934,-122.41073999999999
47,Potrero Ave&Alameda St NW-FS/BZ,37.768271,-122.407932
48,Potrero Ave & Mariposa St ,37.763132,-122.407407
49,Potrero Ave & 19th St,37.760606,-122.407168
50,Potrero Ave&21st St SW-FS/BZ,37.757490000000004,-122.4069
51,Potrero Ave&23rd St NW-NS/BZ,37.754948999999996,-122.406747
